                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3921,                 8.2649,                0.29588,                 1.0993,                 1.2333,                0.77764,                0.60392,                0.70679,                0.41801,                0.30767,                0.12458,                0.06381,                 0.0135,                 1.3439,                 7.7979,                0.09197,                0.93631,                 1.1719,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.4195,                 8.2535,                0.28761,                 1.1079,                 1.2382,                0.76704,                0.60149,                0.69818,                0.41454,                0.34187,                0.13535,                0.07133,                0.01493,                 1.3424,                 7.7158,                0.08355,                0.95663,                 1.1642,              0.0065998,              0.0065998,              0.0065998
                      3,                 1.4637,                  8.369,                0.29211,                 1.1619,                 1.2568,                0.76692,                0.59358,                 0.6921,                0.40389,                0.35913,                0.13477,                0.07356,                0.01626,                 1.3706,                 7.7273,                0.08529,                0.98191,                 1.1816,              0.0098012,              0.0098012,              0.0098012
                      4,                 1.4843,                 8.4033,                0.29231,                 1.1888,                 1.2644,                0.77739,                0.60472,                0.70737,                0.42238,                0.37451,                 0.1463,                0.08338,                0.01839,                 1.3308,                 7.5482,                0.07484,                0.95386,                 1.1498,               0.009703,               0.009703,               0.009703
                      5,                 1.4459,                 8.2037,                0.28366,                 1.1411,                 1.2446,                0.77659,                0.62179,                0.72584,                0.44114,                0.41511,                0.16392,                0.10179,                0.02415,                 1.2923,                 7.3425,                0.06745,                0.90566,                 1.1404,               0.009604,               0.009604,               0.009604
                      6,                 1.4227,                 8.0918,                0.27833,                 1.1168,                 1.2358,                0.78681,                 0.6313,                0.73734,                0.45433,                0.43551,                0.17592,                 0.1189,                0.03205,                 1.2628,                 7.2183,                0.06299,                0.87688,                  1.126,               0.009505,               0.009505,               0.009505
                      7,                 1.4103,                 7.9928,                0.27413,                 1.0997,                 1.2282,                0.78692,                0.64863,                0.74492,                0.46306,                0.45644,                0.18726,                0.12912,                0.03299,                 1.2426,                 7.1107,                0.05549,                0.85594,                 1.1142,               0.009406,               0.009406,               0.009406
                      8,                 1.3987,                 7.9323,                0.26968,                 1.0826,                 1.2225,                0.79816,                0.65349,                 0.7559,                0.47329,                0.48208,                0.19745,                0.14235,                0.03804,                 1.2288,                 7.0075,                0.05602,                0.83692,                 1.1077,               0.009307,               0.009307,               0.009307
                      9,                 1.3853,                 7.8504,                0.26589,                 1.0689,                 1.2156,                0.79203,                0.66673,                0.76047,                0.47808,                0.48349,                0.19916,                0.14108,                0.03802,                 1.2206,                 6.9541,                 0.0493,                0.82386,                 1.1054,               0.009208,               0.009208,               0.009208
                     10,                 1.3756,                 7.8146,                0.26526,                 1.0605,                 1.2111,                 0.7935,                0.66663,                0.76569,                0.48294,                0.49958,                0.20735,                0.15061,                0.04069,                 1.2079,                 6.8954,                0.04671,                 0.8175,                 1.0982,               0.009109,               0.009109,               0.009109
                     11,                 1.3712,                 7.7613,                 0.2621,                 1.0508,                 1.2084,                0.80166,                0.66597,                0.76739,                0.48534,                0.49092,                0.21221,                0.15396,                0.04228,                 1.2072,                 6.8442,                0.04623,                0.80944,                 1.0986,                0.00901,                0.00901,                0.00901
                     12,                 1.3641,                 7.7253,                0.25945,                 1.0414,                 1.2063,                0.80131,                0.67092,                0.77027,                0.48641,                0.50133,                0.21269,                0.15623,                0.04371,                 1.2049,                 6.8116,                0.04532,                0.80316,                 1.0983,               0.008911,               0.008911,               0.008911
                     13,                 1.3618,                 7.6969,                0.25712,                 1.0395,                 1.2025,                0.80142,                0.67344,                0.77216,                0.48868,                0.51454,                0.21516,                 0.1603,                0.04553,                  1.199,                 6.7769,                0.04472,                 0.7991,                 1.0955,               0.008812,               0.008812,               0.008812
                     14,                  1.352,                 7.6535,                0.25729,                 1.0313,                 1.2022,                0.80551,                0.67587,                0.77566,                0.49073,                0.52346,                0.21751,                0.16448,                0.04663,                 1.1959,                 6.7512,                0.04354,                0.79347,                 1.0957,               0.008713,               0.008713,               0.008713
                     15,                 1.3537,                 7.6522,                0.25547,                 1.0312,                 1.1995,                0.80452,                0.67619,                0.77734,                0.49304,                0.52903,                0.21993,                0.16903,                0.04801,                 1.1917,                 6.7312,                0.04339,                0.78827,                  1.093,               0.008614,               0.008614,               0.008614
                     16,                 1.3477,                 7.6327,                0.25373,                  1.027,                 1.1987,                0.80616,                0.67606,                0.77777,                 0.4942,                0.51971,                0.22193,                0.16944,                0.04822,                 1.1889,                 6.7193,                0.04292,                0.78601,                 1.0919,               0.008515,               0.008515,               0.008515
                     17,                 1.3447,                 7.6156,                0.25329,                 1.0208,                 1.1968,                0.80251,                0.68016,                0.77852,                0.49474,                0.51772,                0.22453,                0.17139,                 0.0489,                 1.1866,                 6.7059,                0.04295,                0.78401,                 1.0912,               0.008416,               0.008416,               0.008416
                     18,                 1.3385,                 7.5736,                0.25187,                  1.015,                 1.1953,                0.80235,                0.68475,                0.78029,                0.49596,                0.52189,                 0.2245,                 0.1716,                0.04932,                 1.1843,                 6.6918,                0.04261,                0.78214,                 1.0902,               0.008317,               0.008317,               0.008317
                     19,                 1.3388,                 7.5572,                 0.2509,                 1.0142,                 1.1932,                0.80215,                0.68505,                0.78148,                0.49727,                0.52125,                0.22516,                0.17205,                0.04972,                 1.1827,                 6.6789,                0.04239,                0.78015,                 1.0891,               0.008218,               0.008218,               0.008218
                     20,                 1.3352,                 7.5526,                0.25186,                 1.0112,                 1.1916,                0.79997,                 0.6864,                0.78192,                0.49797,                0.52594,                0.22526,                0.17253,                0.05037,                 1.1811,                  6.669,                0.04227,                0.77823,                 1.0883,               0.008119,               0.008119,               0.008119
                     21,                  1.333,                 7.5195,                0.25004,                 1.0066,                 1.1919,                0.80435,                0.68521,                0.78299,                0.49885,                0.52631,                0.22612,                0.17441,                0.05102,                 1.1805,                 6.6591,                0.04192,                0.77667,                 1.0883,                0.00802,                0.00802,                0.00802
                     22,                 1.3329,                 7.5167,                 0.2487,                 1.0037,                 1.1903,                0.80748,                0.68492,                0.78403,                 0.4994,                 0.5332,                0.22669,                 0.1754,                 0.0515,                 1.1798,                 6.6478,                0.04156,                0.77478,                 1.0879,               0.007921,               0.007921,               0.007921
                     23,                 1.3284,                 7.5028,                0.24822,                 1.0049,                 1.1906,                0.80731,                0.68502,                0.78457,                0.50021,                 0.5334,                0.22697,                0.17615,                  0.052,                 1.1791,                  6.638,                0.04126,                 0.7734,                 1.0878,               0.007822,               0.007822,               0.007822
                     24,                  1.331,                 7.5133,                0.24745,                 1.0038,                   1.19,                0.80931,                0.68492,                0.78509,                0.50094,                0.53268,                0.22926,                0.17908,                0.05281,                 1.1788,                 6.6283,                0.04101,                0.77221,                 1.0877,               0.007723,               0.007723,               0.007723
                     25,                 1.3269,                 7.4758,                  0.246,                 1.0003,                 1.1876,                0.80994,                0.68516,                0.78566,                0.50157,                0.53005,                0.22878,                0.17859,                0.05322,                 1.1783,                 6.6202,                0.04086,                0.77075,                 1.0872,               0.007624,               0.007624,               0.007624
                     26,                 1.3251,                 7.4607,                0.24576,                0.99757,                 1.1875,                0.81071,                0.68673,                0.78639,                 0.5024,                0.53726,                0.22926,                0.17969,                0.05355,                 1.1772,                 6.6103,                0.04053,                0.77005,                 1.0865,               0.007525,               0.007525,               0.007525
                     27,                 1.3207,                 7.4395,                0.24563,                0.99441,                 1.1859,                0.80608,                0.69188,                0.78656,                0.50323,                0.53808,                0.23107,                 0.1826,                0.05414,                 1.1756,                 6.5987,                0.04017,                 0.7684,                 1.0858,               0.007426,               0.007426,               0.007426
                     28,                 1.3216,                 7.4383,                0.24492,                 0.9932,                 1.1859,                0.80226,                0.69445,                0.78736,                 0.5038,                0.53748,                 0.2324,                0.18418,                0.05471,                 1.1745,                 6.5874,                0.03997,                0.76678,                 1.0853,               0.007327,               0.007327,               0.007327
                     29,                 1.3162,                 7.4168,                0.24433,                0.99068,                 1.1831,                0.80667,                0.69268,                0.78831,                0.50451,                0.54566,                0.23222,                0.18483,                0.05497,                 1.1732,                  6.576,                 0.0399,                0.76592,                 1.0848,               0.007228,               0.007228,               0.007228
                     30,                 1.3161,                 7.4101,                0.24438,                0.98983,                 1.1844,                 0.8059,                0.69311,                0.78861,                0.50505,                 0.5467,                0.23297,                0.18519,                0.05547,                 1.1716,                 6.5667,                0.03957,                0.76493,                 1.0844,               0.007129,               0.007129,               0.007129
                     31,                 1.3185,                 7.4101,                0.24338,                0.98898,                 1.1843,                0.80751,                0.69426,                0.78967,                0.50563,                0.55278,                0.23345,                0.18728,                 0.0561,                  1.171,                 6.5576,                0.03916,                 0.7638,                 1.0844,                0.00703,                0.00703,                0.00703
                     32,                 1.3131,                 7.3871,                0.24271,                0.98116,                 1.1825,                0.80759,                0.69549,                0.79045,                0.50687,                0.55047,                0.23537,                0.18851,                0.05673,                   1.17,                 6.5474,                  0.039,                0.76271,                 1.0841,               0.006931,               0.006931,               0.006931
                     33,                 1.3112,                 7.3875,                 0.2436,                0.98539,                 1.1828,                0.80775,                 0.6947,                0.79081,                0.50735,                0.55111,                0.23669,                0.19011,                0.05722,                 1.1685,                 6.5384,                0.03853,                0.76168,                 1.0835,               0.006832,               0.006832,               0.006832
                     34,                 1.3121,                 7.3768,                0.24335,                0.98311,                 1.1827,                0.80727,                0.69578,                 0.7904,                 0.5078,                0.55331,                0.23726,                0.19015,                0.05781,                 1.1669,                 6.5271,                0.03828,                0.76012,                 1.0827,               0.006733,               0.006733,               0.006733
                     35,                 1.3089,                 7.3683,                0.24086,                0.97809,                 1.1769,                0.81074,                0.69524,                0.79142,                0.50854,                0.55521,                0.23659,                0.19062,                0.05826,                 1.1663,                 6.5187,                0.03789,                0.75951,                 1.0824,               0.006634,               0.006634,               0.006634
                     36,                 1.3073,                 7.3587,                0.24206,                0.97861,                 1.1782,                0.80941,                0.69426,                0.79112,                0.50855,                0.55524,                0.23793,                0.19188,                0.05876,                 1.1657,                 6.5113,                0.03748,                0.75844,                 1.0819,               0.006535,               0.006535,               0.006535
                     37,                 1.3051,                 7.3323,                0.24013,                 0.9756,                 1.1768,                0.81157,                0.69371,                0.79157,                0.50894,                0.55257,                0.23898,                0.19221,                0.05911,                 1.1651,                 6.5055,                 0.0371,                0.75773,                 1.0814,               0.006436,               0.006436,               0.006436
                     38,                 1.3065,                 7.3495,                0.24116,                 0.9774,                 1.1767,                0.80974,                0.69397,                0.79234,                0.50945,                0.55527,                0.23975,                0.19373,                0.05972,                 1.1649,                 6.4979,                0.03679,                0.75666,                 1.0811,               0.006337,               0.006337,               0.006337
                     39,                 1.3035,                 7.3243,                 0.2395,                0.97166,                  1.176,                0.80716,                0.69569,                0.79287,                0.50983,                0.55473,                0.24012,                0.19527,                0.06028,                 1.1643,                 6.4907,                0.03662,                0.75525,                 1.0811,               0.006238,               0.006238,               0.006238
                     40,                 1.2997,                 7.3224,                0.24037,                0.96799,                 1.1764,                0.80812,                0.69721,                0.79354,                0.51041,                 0.5567,                0.24098,                0.19706,                0.06073,                 1.1632,                 6.4814,                0.03635,                0.75411,                 1.0803,               0.006139,               0.006139,               0.006139
                     41,                  1.301,                 7.3026,                0.23959,                0.96934,                 1.1758,                0.80899,                 0.6979,                0.79505,                0.51115,                0.55297,                 0.2425,                0.19764,                0.06129,                 1.1615,                 6.4724,                 0.0361,                 0.7528,                 1.0796,                0.00604,                0.00604,                0.00604
